成果作者,成果标题
"['胡超', '陈廷才', '周宜红']",一种混凝土坝缆机入仓轨迹规划与控制方法
"['胡超', '王忠耀', '周宜红', '喻葭临', '杨泽艳', '陈媛媛']",一种基于多维信息模型的土料场开采规划方法
"['贺俊', '周宜红', '赵春菊', '胡超']",一种组合定位缆机运行监测系统
"['胡超', '陈媛媛', '陈廷才', '徐盛']",一种复杂形态土料场开挖量计算方法
"['胡超', '陈媛媛', '杨泽艳', '喻葭临', '王忠耀']",一种土石坝填筑料移动补水装置及方法
"['胡超', '陈廷才', '周宜红']",混凝土拱坝缆机运行轨迹线规划方法
"['鄢璞', '宋玲', '胡超', '潘志国']",一种安全高效的缆机吊罐稳罐装置
"['胡超', '陈媛媛']",一种大体积混凝土浇筑预防冷缝的施工控制方法
"['周宜红', '贺俊', '胡超', '赵春菊']",一种混凝土高压冲毛机械及施工方法
"['贺俊', '周宜红', '赵春菊', '胡超']",一种组合定位缆机运行监测系统和缆机防碰调控方法
"['贺俊', '胡超', '赵春菊', '周宜红']",一种大风影响下缆机吊罐摆动的风洞试验研究装置
"['胡超', '贺俊', '周宜红', '王忠耀']",建筑保温被收铺机
"['胡超', '周宜红', '潘志国']",边坡开挖数字化施工与质量控制方法
"['贺俊', '胡超', '赵春菊', '周宜红']",一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
"['刘晓娜', '杨改强', '霍丽娟', '王婷']",试管清洗装置
"['黎颖', '揭晓华', '张留艳', '麦永津', '张艳梅']",一种C6H12O6水溶液淬火冷却介质及其制备方法
"['黎颖', '张留艳', '揭晓华', '麦永津']",一种钢筋表面纳米化复合涂层及其制备方法与应用
"['罗松', '揭晓华', '麦永津', '张留艳', '郑琼彬', '张艳梅']",一种中碳钢表面微纳米多尺度结构的制备方法
"['张留艳', '揭晓华', '郑琼彬', '黄晓晔', '麦永津']",一种耐海水冲刷腐蚀双相不锈钢的制备方法
"['吴桐', '刁铮亮', '蒋俊杰', '黎颖', '张留艳']",一种碳钢表面处理方法
"['杨春霞', '侯舢舢', '赵梦晌', '姚婷婷', '陈会向']",一种全贯流式水轮机扭矩测量装置及方法
"['杨春霞', '张振', '胡岩', '赵梦晌', '丁艳', '刘惠文']",一种带有渐密孔的凸型导板水车增能装置
"['蒋玲', '徐琬婷', '张超', '余红英', '熊良林', '王子阳', '吴伟越', '肖志玉']",消声器筒体的旋转翻边装置
"['蒋玲', '张超', '贾冕茜', '邓延安', '熊良林', '张华峰', '王俊佳', '何乐乐']",用于汽车消声器的一体式旋转操作装置
"['曹秀丽', '叶罡', '李强', '李蓓', '孙平平']",一种混凝土早龄期热膨胀系数多尺度模型的预测方法
"['曹秀丽', '高健', '杜文学', '吴倩', '赵梦雅', '张优格', '胡丽晓', '黄诗如']",一种硬化水泥砂浆热膨胀系数的多尺度预测方法
"['曹秀丽', '叶罡', '高健', '杜文学', '陈敏志']",一种硬化混凝土热膨胀系数的多尺度预测方法
"['王斌', '李建国', '周傲']",一种基于径向基点插值法求解渗流自由面的优化算法
"['王斌', '周傲', '李建国']",一种剑桥自钻式旁压仪钻头钻进速度测量装置
"['李艳梅', '吴军军', '张伯斗', '胡洪果', '李文浩', '赵朗', '陈永湘']",新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
"['杜雅楠', '杨改强', '罗煜清', '靳浩堂']",一种用于集体宿舍的污水分类过滤再利用装置
"['霍丽娟', '杨改强', '王婷', '李一菲']",土壤饱和导水率测定装置
"['杨改强', '霍丽娟', '王婷', '刘晓娜']",一种新型暗盒修复支架
"['刘日成', '蔚立元', '靖洪文', '李光雷', '谢凯']",岩体裂隙网络渗透系数方向性测试及可视化系统
